split,method,normalization,resolution,curve_index,density_ratio,sample_fraction,sample_axis_rows,sample_axis_cols,sample_count,log_mae_interp_count,log_mae_interp_mean,log_mae_interp_median,log_mae_interp_std,entropy_error_interp_count,entropy_error_interp_mean,entropy_error_interp_median,entropy_error_interp_std,entropy_error_direct_count,entropy_error_direct_mean,entropy_error_direct_median,entropy_error_direct_std,radial_error_interp_count,radial_error_interp_mean,radial_error_interp_median,radial_error_interp_std,radial_error_direct_count,radial_error_direct_mean,radial_error_direct_median,radial_error_direct_std,compress_s_mean,compress_s_median,fft_s_mean,fft_s_median,interp_s_mean,interp_s_median,compute_s_mean,compute_s_median,total_s_mean,total_s_median,density_1024_entropy_norm_mean,density_1024_entropy_norm_median,density_1024_std_mean,density_1024_std_median,density_1024_gini_mean,density_1024_gini_median
full_eval,density_fft,none,1039,5,0.09375,,,,,1,3.208186149597168,3.208186149597168,,1,0.08144950866699219,0.08144950866699219,,1,0.1145181655883789,0.1145181655883789,,1,0.004892209821963884,0.004892209821963884,,1,0.004875212803453599,0.004875212803453599,,0.002477250061929226,0.002477250061929226,0.09370049787685275,0.09370049787685275,0.2377283088862896,0.2377283088862896,,,0.3339795800857246,0.3339795800857246,0.6434715896391289,0.6434715896391289,0.012499402997865512,0.012499402997865512,0.9944377171647949,0.9944377171647949
full_eval,density_fft,none,1385,4,0.125,,,,,1,2.9768013954162598,2.9768013954162598,,1,0.070281982421875,0.070281982421875,,1,0.09880542755126953,0.09880542755126953,,1,0.006441205828851901,0.006441205828851901,,1,0.0064109204615180725,0.0064109204615180725,,0.0024660800117999315,0.0024660800117999315,0.06559886899776757,0.06559886899776757,0.2402122940402478,0.2402122940402478,,,0.3083517469931394,0.3083517469931394,0.6434715896391289,0.6434715896391289,0.012499402997865512,0.012499402997865512,0.9944377171647949,0.9944377171647949
full_eval,density_fft,none,2078,3,0.1875,,,,,1,2.386016607284546,2.386016607284546,,1,0.028806686401367188,0.028806686401367188,,1,0.051033973693847656,0.051033973693847656,,1,0.002974423694337029,0.002974423694337029,,1,0.002984042382139852,0.002984042382139852,,0.0025536390021443367,0.0025536390021443367,0.057213691994547844,0.057213691994547844,0.2481262288056314,0.2481262288056314,,,0.3079674930777401,0.3079674930777401,0.6434715896391289,0.6434715896391289,0.012499402997865512,0.012499402997865512,0.9944377171647949,0.9944377171647949
full_eval,density_fft,none,2771,2,0.25,,,,,1,2.032475709915161,2.032475709915161,,1,0.021436691284179688,0.021436691284179688,,1,0.03954887390136719,0.03954887390136719,,1,0.003674451752311594,0.003674451752311594,,1,0.0036957491577255795,0.0036957491577255795,,0.002571532968431711,0.002571532968431711,0.06338292290456593,0.06338292290456593,0.2602897440083325,0.2602897440083325,,,0.3263333321083337,0.3263333321083337,0.6434715896391289,0.6434715896391289,0.012499402997865512,0.012499402997865512,0.9944377171647949,0.9944377171647949
full_eval,density_fft,none,4156,1,0.375,,,,,1,1.4674432277679443,1.4674432277679443,,1,0.0027618408203125,0.0027618408203125,,1,0.0173187255859375,0.0173187255859375,,1,0.002610762422906379,0.002610762422906379,,1,0.0026092696759307654,0.0026092696759307654,,0.005334867862984538,0.005334867862984538,0.06485837697982788,0.06485837697982788,0.2932197309564799,0.2932197309564799,,,0.3635387788526714,0.3635387788526714,0.6434715896391289,0.6434715896391289,0.012499402997865512,0.012499402997865512,0.9944377171647949,0.9944377171647949
full_eval,density_fft,none,5542,0,0.5,,,,,1,1.1899570226669312,1.1899570226669312,,1,0.0033702850341796875,0.0033702850341796875,,1,0.009654998779296875,0.009654998779296875,,1,0.0017878714413327884,0.0017878714413327884,,1,0.0017825389051463747,0.0017825389051463747,,0.0013350320514291525,0.0013350320514291525,0.06093326606787741,0.06093326606787741,0.40403151186183095,0.40403151186183095,,,0.4664628552272916,0.4664628552272916,0.6434715896391289,0.6434715896391289,0.012499402997865512,0.012499402997865512,0.9944377171647949,0.9944377171647949
full_eval,density_fft,unit,87,12,0.0078125,,,,,1,4.336221218109131,4.336221218109131,,1,1.0061454772949219,1.0061454772949219,,1,1.259115219116211,1.259115219116211,,1,0.021255370963895133,0.021255370963895133,,1,0.02149634883706121,0.02149634883706121,,0.002441250951960683,0.002441250951960683,0.00024117599241435528,0.00024117599241435528,0.2346644438803196,0.2346644438803196,,,0.2374619240872562,0.2374619240872562,0.6434715896391289,0.6434715896391289,0.012499402997865512,0.012499402997865512,0.9944377171647949,0.9944377171647949
full_eval,density_fft,unit,130,11,0.01171875,,,,,1,4.339101314544678,4.339101314544678,,1,0.9735164642333984,0.9735164642333984,,1,1.197798728942871,1.197798728942871,,1,0.0258351732771047,0.0258351732771047,,1,0.026540420032620374,0.026540420032620374,,0.0022806909400969744,0.0022806909400969744,0.0002380399964749813,0.0002380399964749813,0.2347053331322968,0.2347053331322968,,,0.23733854503370821,0.23733854503370821,0.6434715896391289,0.6434715896391289,0.012499402997865512,0.012499402997865512,0.9944377171647949,0.9944377171647949
full_eval,density_fft,unit,173,10,0.015625,,,,,1,4.341030597686768,4.341030597686768,,1,0.9757442474365234,0.9757442474365234,,1,1.180419921875,1.180419921875,,1,0.022593606677852793,0.022593606677852793,,1,0.022379261510939035,0.022379261510939035,,0.0024594669230282307,0.0024594669230282307,0.00023858086206018925,0.00023858086206018925,0.23530567297711968,0.23530567297711968,,,0.23811895493417978,0.23811895493417978,0.6434715896391289,0.6434715896391289,0.012499402997865512,0.012499402997865512,0.9944377171647949,0.9944377171647949
full_eval,density_fft,unit,260,9,0.0234375,,,,,1,4.3426713943481445,4.3426713943481445,,1,0.9145603179931641,0.9145603179931641,,1,1.0858268737792969,1.0858268737792969,,1,0.015163915543998466,0.015163915543998466,,1,0.015080562845284064,0.015080562845284064,,0.002469695871695876,0.002469695871695876,0.00023722811602056026,0.00023722811602056026,0.23488442902453244,0.23488442902453244,,,0.2377059159334749,0.2377059159334749,0.6434715896391289,0.6434715896391289,0.012499402997865512,0.012499402997865512,0.9944377171647949,0.9944377171647949
